,collectionName,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,total_volume,total_sales,total_supply,num_owners,average_price,market_cap,floor_price
0,cryptojankyz,0.837,2.36144578313253,5.0,0.1674,9.870900000000006,-0.38166112861160956,42.0,0.23502142857142871,9654.47311455606,18146.0,13867.0,5848.0,0.5320441482726804,3259.042150000002,0.0
1,slacker_duck_pond,0.129352,3.4758477508650514,9.0,0.014372444444444445,0.27690400000000004,0.09252708224644429,18.0,0.015383555555555558,477.0370747899408,7875.0,6000.0,2277.0,0.060576136481262324,92.30133333333335,0.0
2,meebits,40.567,0.3468906670208176,4.0,10.14175,351.82399999999996,-0.27131722898236393,65.0,5.412676923076923,119964.60712069791,21642.0,20000.0,6550.0,5.5431386711347335,108253.53846153845,0.0
3,cryptopunks,191.88,-0.054778325123152734,5.0,38.376,2497.06,0.6365042435363893,65.0,38.41630769230769,910769.513743289,20291.0,9999.0,3462.0,44.88539321587349,384124.6606153846,0.0
4,acclimatedmooncats,2.6379,1.4312442396313365,9.0,0.2931,12.824699999999998,-0.7040915918514263,41.0,0.31279756097560973,18217.926214972045,16829.0,19107.0,5790.0,1.0825317140039246,5976.622997560975,0.0
5,ether_cards_founder,1.0,0.0,1.0,1.0,3.42,-0.5962648596961362,10.0,0.34199999999999997,3524.6622981213027,3219.0,10000.0,1423.0,1.0949556688789384,3420.0,0.0
6,dystopunks_vx,0.0,0.0,0.0,0.0,0.46399999999999997,-0.022952200463255582,18.0,0.025777777777777774,65.13750968999007,921.0,7473.0,1368.0,0.07072476622148759,192.63733333333332,0.0
7,imps_by_supernfty,0.3984000000000001,0.632786885245902,9.0,0.044266666666666676,4.132199999999998,0.08349793471480453,58.0,0.07124482758620687,1261.2865586494634,8552.0,10000.0,3976.0,0.14748439647444614,712.4482758620687,0.0
8,ape_gang,0.0,-1.0,0.0,0.0,1.824,-0.5100725221595489,15.0,0.1216,314.37380892362984,1115.0,8143.0,2543.0,0.2819496044158115,990.1888,0.0
9,wicked_monsters,0.01,0.0,1.0,0.01,0.10289999999999999,0.7440677966101694,7.0,0.0147,227.66734772299114,1457.0,4444.0,2183.0,0.15625761683115383,65.32679999999999,0.0
10,metavaders,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,33.63458999999999,684.0,1664.0,594.0,0.04917337719298244,0.0,0.0
11,lady_killaz,0.0,-1.0,0.0,0.0,0.23379999999999998,-0.4708544455921589,13.0,0.017984615384615384,80.78788779389134,1601.0,9971.0,3074.0,0.05046089181379847,179.32459999999998,0.0
12,pugfrens,0.0,-1.0,0.0,0.0,0.14938,6.469,30.0,0.004979333333333334,390.0613444357256,5703.0,8787.0,3548.0,0.06839581701485632,43.753402,0.0
13,wicked_hound_bone_club,0.0,-1.0,0.0,0.0,0.03950000000000001,-0.26784059314179787,8.0,0.004937500000000001,1215.3932451144894,8024.0,11111.0,4180.0,0.15146974640011085,54.86056250000001,0.0
14,space_dinos_club,0.041999999999999996,0.0,3.0,0.013999999999999999,0.19580000000000003,-0.24923312883435564,13.0,0.015061538461538465,480.1318063332663,2883.0,9521.0,3910.0,0.166538954676818,143.40090769230773,0.0
15,lostboy_nft,0.1167,-0.5472883854449531,3.0,0.0389,1.5979800000000004,-0.43693446088794924,36.0,0.04438833333333334,759.0425284920709,9598.0,10000.0,3466.0,0.07908340576079088,443.88333333333344,0.0
16,thekillaz,0.08399999999999999,-0.6534653465346535,2.0,0.041999999999999996,0.9534000000000002,1.2597771983882442,24.0,0.03972500000000001,3672.0183341059756,15623.0,9971.0,4015.0,0.23503925840785864,396.0979750000001,0.0
17,the_shark_cove,0.0,-1.0,0.0,0.0,8.611060000000002,5.573328244274809,49.0,0.17573591836734698,287.3284350754961,3440.0,2913.0,881.0,0.08352570787078374,511.9187302040817,0.0
18,space_punks_club,0.054000000000000006,0.6363636363636365,2.0,0.027000000000000003,0.6580000000000001,-0.22905682483889872,18.0,0.03655555555555556,6005.446901838712,14342.0,9995.0,4322.0,0.4187314810932026,365.37277777777786,0.0
19,wicked_ape_bone_club,0.10200000000000001,0.020000000000000018,3.0,0.034,0.7409000000000001,-0.16273025200587626,14.0,0.05292142857142858,7698.67966029936,23117.0,10000.0,4933.0,0.33303108795688713,529.2142857142858,0.0
20,the_wanderers,0.7,2.5017508754377182,2.0,0.35,3.2089,-0.1845235069885644,15.0,0.21392666666666665,4550.984880035142,14547.0,8887.0,4166.0,0.3128469705117991,1901.1662866666666,0.0
